payment_id,order_id,paid_at,method,amount,wallet_applied,status,currency
P01916,O01245,18-04-2026 10:32,netbanking,6.03,0,captured,USD
P02719,O00576,03-02-2026 20:19,card,330.4,0,captured,INR
P01542,O01746,2026-07-08T23:12:00+05:30,upi,15.29,0,refunded,USD
P01964,O01322,04-06-2026 19:42,card,55.15,0,captured,USD
P00929,O01058,2026-07-16T06:35:00+05:30,wallet,714.64,50,captured,INR
P00652,O01661,2026-01-25T06:48:00+05:30,card,362.93,120.98,captured,INR
P01381,O01266,26-06-2026 09:23,netbanking,11.36,0,pending,USD
P01842,O00370,02-06-2026 19:49,netbanking,318.53,0,captured,INR
P00211,O00500,10-03-2026 14:29,wallet,41.45,0,captured,USD
P00329,O00800,2026-06-19T18:42:00+05:30,netbanking,5.83,0,captured,USD
P00288,O01315,2026-02-24T22:18:00+05:30,netbanking,1152.61,0,refunded,INR
P01149,O01850,2026-02-27T16:46:00Z,wallet,3833.18,15,captured,INR
P01493,O01563,2026-01-19T08:19:00Z,netbanking,1882.19,0,captured,INR
P01645,O00138,2026-06-11T18:12:00+05:30,upi,7.43,0,captured,USD
P01657,O01368,27-06-2026 01:11,cod,1071.39,200,captured,INR
P00709,O00660,2025-11-26T17:38:00+05:30,cod,2729.73,0,failed,INR
P00781,O00934,2026-03-30T23:48:00+05:30,upi,5.64,0,captured,USD
P01118,O01626,2025-08-09T20:27:00+05:30,netbanking,1559.23,0,failed,INR
P01206,O00873,2025-12-18T16:54:00+05:30,netbanking,14.73,0,failed,USD
P01931,O00762,2026-07-05T10:24:00+05:30,netbanking,10.99,0,failed,USD
P02115,O01553,2026-06-30T04:18:00+05:30,card,2885.48,0,refunded,INR
P02011,O00752,2026-05-02T02:03:00+05:30,cod,1779.75,0,failed,INR
P00665,O01855,2026-05-20T20:08:00+05:30,card,2844.44,0,failed,INR
P01821,O02055,2025-09-19T18:27:00Z,wallet,30.28,0,captured,USD
P00871,O01869,2026-05-17T21:32:00+05:30,netbanking,498.05,0,pending,INR
P00711,O01002,2025-12-08T03:17:00+05:30,netbanking,5.82,0,captured,USD
P01539,O02072,03-05-2026 04:26,cod,20.25,0,captured,USD
P00150,O00001,05-03-2026 06:03,cod,17.03,0,captured,USD
P01046,O00864,18-02-2026 22:31,netbanking,332.71,0,pending,INR
P00091,O00597,09-06-2026 05:25,cod,4.78,0.01,captured,USD
P01452,O00412,2026-04-19T04:35:00+05:30,cod,1868.2,0,refunded,INR
P00839,O02101,20-03-2026 09:01,netbanking,440.36,0,refunded,INR
P01620,O02015,2026-07-25T16:37:00+05:30,netbanking,4330.43,0,refunded,INR
P01385,O01767,2026-03-21T05:30:00+05:30,wallet,914.56,0,captured,INR
P02784,O01887,2026-04-18T14:28:00+05:30,card,14.23,0,captured,USD
P00517,O00811,2026-04-25T15:10:00+05:30,,869.82,100,captured,INR
P00228,O00064,2026-03-29T16:13:00+05:30,upi,346.83,0,captured,INR
P01343,O00425,2026-03-06T14:59:00+05:30,netbanking,1682.74,0,failed,INR
P00428,O00738,2026-03-15T16:16:00+05:30,wallet,359.61,0,failed,INR
P02750,O00967,2025-08-21T00:40:00+05:30,wallet,4986.33,0,refunded,INR
P02144,O00748,2026-07-18T06:29:00+05:30,upi,1081.48,0,failed,INR
P00550,O00892,2026-07-02T12:32:00+05:30,upi,1296.1,0,refunded,INR
P02007,O01845,20-12-2025 13:26,card,65.3,0,failed,USD
P00398,O01673,2025-12-28T23:21:00+05:30,netbanking,4.74,0,refunded,USD
P00253,O02000,2026-07-10T17:29:00+05:30,,7.5,0,captured,USD
P00347,O00903,2026-04-16T17:17:00+05:30,upi,19.89,0,pending,USD
P01627,O01738,2026-03-20T05:10:00+05:30,netbanking,4.74,0,refunded,USD
P00201,O00427,2026-06-17T04:13:00Z,card,823.55,0,captured,INR
P00110,O01393,18-02-2026 22:02,netbanking,520.2,0,captured,INR
P02465,O00753,2026-06-06T08:16:00+05:30,cod,29.44,0,captured,USD
P02277,O01336,2025-11-08T00:21:00+05:30,,947.23,0,captured,INR
P01675,O00391,09-07-2026 07:49,wallet,4002.52,0,captured,INR
P01701,O01160,2026-01-07T19:31:00+05:30,wallet,4.73,0.01,captured,USD
P02701,O00078,2025-12-22T04:05:00+05:30,wallet,23.58,0,failed,USD
P01647,O01700,2026-05-28T12:33:00+05:30,wallet,4553.56,0,failed,INR
P00391,O00729,2026-05-30T17:37:00+05:30,upi,794.15,0,failed,INR
P02396,O01825,2026-07-17T15:49:00+05:30,cod,835.52,0,captured,INR
P00314,O01386,09-08-2025 10:41,,4216.08,0,captured,INR
P01404,O01580,2026-06-16T15:10:00Z,cod,43.78,0,captured,USD
P02228,O01829,16-05-2026 22:26,card,1256.52,0,captured,INR
P02217,O01703,2026-06-29T02:58:00+05:30,card,2281.79,0,refunded,INR
P01377,O01634,01-02-2026 19:53,cod,25.5,0,failed,USD
P01380,O02026,2026-02-05T03:23:00Z,netbanking,49.36,0.25,captured,USD
P00382,O01289,2026-05-13T07:45:00Z,card,10.11,0,captured,USD
P01015,O01029,28-09-2025 10:18,netbanking,366.4,0,captured,INR
P00555,O00606,2025-05-22T05:24:00Z,cod,9.84,0,failed,USD
P01148,O00580,2026-06-19T16:25:00+05:30,wallet,646.47,0,captured,INR
P00488,O00017,2026-01-30T08:30:00Z,wallet,2472.9,0,captured,INR
P01009,O00484,2026-02-04T09:14:00+05:30,card,14.14,0,captured,USD
P01922,O00326,2025-11-29T20:19:00Z,netbanking,2302.98,0,captured,INR
P02440,O00010,2026-01-31T19:18:00+05:30,upi,3518.67,0,captured,INR
P02291,O01784,11-06-2026 17:47,card,30.44,0,refunded,USD
P00906,O00055,2026-07-14T12:27:00+05:30,wallet,10.19,0,captured,USD
P00136,O00097,24-04-2026 11:18,cod,9.78,0,captured,USD
P01638,O01214,05-05-2026 19:37,upi,5.76,0,captured,USD
P00748,O00046,2025-06-24T01:20:00Z,cod,4765.27,0,captured,INR
P02204,O00492,2026-07-06T02:35:00Z,card,774.19,0,captured,INR
P01635,O02086,08-07-2026 09:24,cod,5.6,0,captured,USD
P02700,O00272,13-03-2026 10:12,wallet,5.64,0,failed,USD
P01189,O01162,2026-01-27T16:35:00+05:30,card,15,0,captured,USD
P02301,O01757,2025-11-01T09:06:00Z,card,8.84,0,captured,USD
P00508,O00564,08-01-2026 03:02,wallet,815.03,50,captured,INR
P02279,O00487,2025-11-21T03:30:00+05:30,cod,5.59,0,refunded,USD
P02778,O00773,2025-06-01T12:32:00+05:30,wallet,943.59,0,pending,INR
P00940,O02117,06-08-2026 22:45,cod,458.88,0,captured,INR
P02234,O00172,2025-11-16T10:59:00Z,netbanking,3251.77,0,failed,INR
P00831,O00611,09-04-2026 16:47,upi,5044.63,0,failed,INR
P01137,O01107,30-12-2025 11:15,upi,363.36,0,failed,INR
P01643,O01339,24-06-2026 01:15,upi,4.99,0,captured,USD
P01494,O01821,2026-02-12T09:12:00+05:30,card,10.85,0.05,captured,USD
P01134,O00610,05-07-2026 03:15,netbanking,321.68,0,captured,INR
P00059,O00848,2026-04-15T23:56:00+05:30,upi,4224.66,0,captured,INR
P01184,O01604,01-03-2026 08:53,wallet,39.14,0,refunded,USD
P00244,O00804,2025-11-01T16:32:00Z,netbanking,5.98,0,captured,USD
P00044,O00964,2025-11-07T19:31:00Z,card,3029.92,0,refunded,INR
P00928,O00410,2026-03-03T03:53:00+05:30,wallet,7.24,0,captured,USD
P00442,O01882,2026-07-08T09:49:00+05:30,wallet,24.77,0,captured,USD
P00912,O01962,2025-11-16T13:13:00+05:30,cod,23.43,0,captured,USD
P02706,O01717,03-02-2026 15:12,wallet,658.7,0,captured,INR
P01612,O00248,2026-03-02T17:54:00Z,wallet,9.35,0,captured,USD
P00773,O01350,19-02-2026 09:21,card,1986.66,0,captured,INR
P02302,O01815,23-04-2026 08:49,upi,29.22,0,captured,USD
P02696,O00801,2026-04-25T05:40:00+05:30,netbanking,4.99,0,refunded,USD
P00178,O01629,2025-12-09T20:25:00+05:30,cod,558.99,0,failed,INR
P00907,O00826,2026-01-25T23:32:00+05:30,cod,3641.68,0,failed,INR
P00525,O00567,05-09-2025 09:54,netbanking,19.6,0.06,captured,USD
P02026,O00958,24-07-2026 20:51,netbanking,2290.05,0,captured,INR
P00898,O01147,2025-09-04T03:12:00+05:30,card,4.99,0,captured,USD
P00613,O00225,2026-07-14T11:05:00+05:30,cod,15.67,0.03,captured,USD
P00308,O01808,2025-10-19T14:36:00+05:30,upi,922.36,0,captured,INR
P01243,O00303,2025-11-10T22:22:00+05:30,wallet,4.23,0.01,captured,USD
P00319,O00210,2026-06-24T11:04:00+05:30,,35.28,0,captured,USD
P02395,O01825,2026-07-17T15:47:00+05:30,cod,835.52,0,failed,INR
P00951,O00213,2026-05-02T05:05:00+05:30,cod,363.9,0,captured,INR
P02686,O01686,2025-10-09T01:06:00+05:30,wallet,32.39,0.16,captured,USD
P02575,O01701,2026-07-07T01:08:00+05:30,netbanking,4.94,0,failed,USD
P02529,O00171,2026-04-06T06:26:00+05:30,wallet,503.38,0,captured,INR
P01121,O01602,2026-06-03T22:59:00+05:30,,605.67,0,failed,INR
P00956,O01382,14-07-2025 03:16,upi,1835.19,0,captured,INR
P00663,O00244,2026-05-17T01:23:00+05:30,wallet,339.72,0,failed,INR
P02738,O02025,2025-05-17T09:52:00Z,card,4519.76,0,captured,INR
P02699,O01288,09-10-2025 14:24,upi,623.59,0,captured,INR
P02569,O00135,13-05-2026 00:22,,43.7,0.19,captured,USD
P02502,O00250,2025-10-15T01:00:00Z,wallet,1215.05,0,captured,INR
P00810,O01321,2026-03-21T00:03:00+05:30,card,5.55,0.01,captured,USD
P02224,O00975,07-03-2026 12:03,netbanking,41.7,0,failed,USD
P02230,O00552,2026-02-11T03:14:00Z,cod,1071.56,0,captured,INR
P02100,O00423,2026-04-06T13:14:00Z,netbanking,1726.28,0,refunded,INR
P02674,O01439,2026-05-23T11:32:00+05:30,card,8.47,0.04,captured,USD
P00500,O00186,18-01-2026 18:32,card,6.27,0,pending,USD
P01182,O00268,2026-07-17T13:52:00+05:30,cod,39.42,0.07,captured,USD
P01153,O01076,2026-05-20T16:59:00Z,cod,2462.33,0,captured,INR
P00430,O00738,2026-03-30T16:19:00+05:30,wallet,359.61,0,refunded,INR
P00132,O00195,03-04-2026 07:46,upi,60.14,0,failed,USD
P02672,O00522,20-05-2026 19:11,wallet,458.91,0,captured,INR
P00198,O00600,2026-06-03T11:17:00+05:30,netbanking,,0,captured,INR
P00634,O00342,2026-04-01T14:55:00Z,cod,400.14,0,captured,INR
P00862,O01752,28-03-2026 13:39,cod,5.43,0,captured,USD
P01388,O01606,2026-05-14T11:29:00Z,,306.38,0,captured,INR
P00666,O01855,2026-05-20T20:23:00Z,card,2844.44,0,failed,INR
P00768,O00504,09-05-2026 09:47,netbanking,5311.18,0,failed,INR
P00122,O02065,2026-01-31T16:33:00+05:30,card,66.85,0,captured,USD
P02579,O02070,2026-04-23T17:31:00Z,wallet,6.52,0.03,captured,USD
P02118,O01658,2025-11-28T12:17:00+05:30,cod,819.29,15,captured,INR
P02542,O00453,2026-03-23T11:47:00+05:30,wallet,8.41,0,refunded,USD
P00054,O01346,2026-05-11T07:20:00+05:30,card,2981.73,0,failed,INR
P01415,O00095,2026-07-19T17:33:00+05:30,upi,16.76,0,refunded,USD
P01108,O01273,2026-07-19T23:10:00+05:30,upi,381.27,0,refunded,INR
P01276,O01935,08-02-2026 06:26,netbanking,4.99,0,failed,USD
P02338,O01820,2026-03-21T16:49:00Z,upi,3.98,0.01,captured,USD
P01831,O01052,30-08-2025 19:25,,43.9,0,captured,USD
P00607,O00777,2026-02-07T15:33:00+05:30,cod,7.51,0,failed,USD
P00474,O00429,2026-07-24T18:35:00+05:30,netbanking,5.15,0,captured,USD
P01992,O00126,2026-03-10T23:27:00+05:30,netbanking,4761.65,0,captured,INR
P01589,O01861,2026-03-24T06:39:00+05:30,upi,3500.39,0,captured,INR
P02073,O00763,2026-02-26T02:02:00+05:30,wallet,13.54,0,refunded,USD
P00303,O00399,23-05-2026 22:51,wallet,5333,0,refunded,INR
P01250,O01750,2026-07-01T08:26:00+05:30,upi,4514.45,0,captured,INR
P00542,O01098,2026-04-15T17:06:00+05:30,wallet,7,0,failed,USD
P02383,O01694,17-05-2025 08:59,card,6.83,0,captured,USD
P01521,O00929,25-07-2026 07:33,cod,1893.88,0,captured,INR
P00266,O00096,2026-02-19T22:59:00+05:30,wallet,15.84,0,failed,USD
P00420,O00214,2025-06-11T10:46:00+05:30,wallet,797.15,0,captured,INR
P02728,O02105,2026-06-26T14:43:00+05:30,wallet,5.59,0,failed,USD
P02779,O00359,2026-05-12T14:25:00+05:30,cod,2823.07,50,captured,INR
P00565,O02119,2026-04-10T07:27:00+05:30,wallet,960.57,0,captured,INR
P00086,O01797,2026-07-16T03:12:00+05:30,cod,656.5,0,captured,INR
P01098,O01556,2025-11-06T10:36:00+05:30,card,,0,captured,INR
P02095,O01065,2026-06-20T10:48:00+05:30,netbanking,454.38,0,failed,INR
P01465,O01945,2025-07-09T01:14:00Z,upi,185.47,0,refunded,INR
P00540,O01377,2026-06-17T06:21:00+05:30,wallet,1236.99,0,failed,INR
P00098,O01693,2025-11-16T10:19:00+05:30,card,4.99,0,failed,USD
P00991,O01884,2026-05-15T10:38:00Z,cod,413.81,0,refunded,INR
P00786,O00831,2026-07-03T11:18:00+05:30,card,2160.57,100,captured,INR
P01018,O00599,27-05-2025 02:40,wallet,1483.58,0,refunded,INR
P01141,O01116,2025-05-29T12:17:00+05:30,cod,541.42,0,refunded,INR
P02258,O00201,01-05-2026 13:15,netbanking,920.52,0,pending,INR
P02410,O00162,16-05-2026 21:10,card,6.62,0,captured,USD
P02729,O01335,2026-01-31T10:11:00+05:30,upi,31.11,0,captured,USD
P00407,O00290,06-07-2026 20:34,netbanking,60.73,0,captured,USD
P00631,O00650,2025-05-24T18:14:00+05:30,,1127.07,0,captured,INR
P00124,O00969,07-08-2025 22:06,wallet,954.5,0,captured,INR
P02034,O00123,2026-02-09T18:53:00+05:30,card,1745.53,30,captured,INR
P01584,O01084,2026-05-14T20:41:00Z,upi,1416.56,0,failed,INR
P01253,O01520,2026-04-12T10:24:00Z,upi,27.02,0,pending,USD
P02464,O01312,05-04-2026 09:50,cod,24.28,0,captured,USD
P01566,O00056,2026-05-13T19:03:00+05:30,netbanking,5218.06,50,captured,INR
P02156,O00545,2026-05-09T03:55:00+05:30,cod,2786.97,0,captured,INR
P02769,O00925,2026-07-04T19:18:00+05:30,cod,500.98,0,failed,INR
P00160,O00418,28-04-2026 22:36,upi,11.12,0,refunded,USD
P01469,O01633,2025-04-12T12:05:00Z,wallet,1206.65,0,refunded,INR
P02018,O00623,2025-11-23T20:01:00+05:30,netbanking,5.54,0,captured,USD
P01422,O00155,2026-01-24T03:47:00+05:30,card,499.4,0,refunded,INR
P01986,O00589,25-11-2025 21:57,netbanking,20.68,0,captured,USD
P00046,O00995,2026-06-12T14:29:00+05:30,netbanking,4.99,0,captured,USD
P02108,O01860,20-08-2025 06:33,card,23.93,0,captured,USD
P02307,O00789,16-02-2026 05:05,cod,3320.41,200,captured,INR
P00854,O00449,23-01-2026 03:28,card,,0,captured,USD
P02667,O00392,2026-05-21T15:23:00+05:30,netbanking,21.87,0,captured,USD
P02215,O00240,2026-06-06T11:08:00+05:30,card,2854.22,0,captured,INR
P02079,O00219,2026-07-06T03:26:00+05:30,upi,6.87,0,refunded,USD
P02720,O01133,14-12-2025 00:13,netbanking,10.29,0,captured,USD
P02202,O00445,23-10-2025 15:51,upi,504.59,0,captured,INR
P00785,O02049,30-06-2026 11:04,upi,910.77,0,captured,INR
P00485,O01893,2026-04-29T01:04:00Z,card,512.16,0,refunded,INR
P00897,O00683,25-01-2026 17:41,cod,611.11,50,captured,INR
P01320,O00530,22-07-2026 20:46,,2105.62,200,captured,INR
P02612,O01473,2025-05-12T14:03:00+05:30,netbanking,51.06,0,refunded,USD
P01005,O01747,01-07-2026 10:07,card,341.97,0,refunded,INR
P00351,O01971,2026-05-21T16:05:00+05:30,netbanking,1581.19,0,failed,INR
P01728,O01609,2025-09-09T12:05:00+05:30,netbanking,10.51,0,refunded,USD
P02663,O01721,2026-04-12T17:18:00Z,netbanking,313.63,0,captured,INR
P01219,O01476,2026-04-01T15:00:00Z,upi,4843.11,0,captured,INR
P01310,O01636,01-07-2026 02:17,wallet,8.88,0,failed,USD
P00174,O00357,2026-06-16T03:28:00+05:30,netbanking,674.42,0,captured,INR
P01652,O00338,2026-07-15T08:26:00+05:30,cod,3923.37,0,captured,INR
P01394,O01260,2025-12-18T01:09:00Z,cod,38.81,0,captured,USD
P01135,O01911,2026-05-21T21:31:00+05:30,card,1265.36,0,captured,INR
P01885,O00851,2026-01-17T09:56:00Z,netbanking,342.76,0,failed,INR
P02271,O00279,2026-02-15T16:27:00+05:30,netbanking,682.34,0,captured,INR
P00755,O00512,2026-01-03T05:19:00+05:30,upi,4.97,0.02,captured,USD
P00568,O01885,09-12-2025 09:30,netbanking,2030.82,0,captured,INR
P02020,O01987,2026-03-30T17:04:00+05:30,upi,3058.6,0,failed,INR
P00287,O01315,2026-02-10T22:18:00Z,netbanking,1152.61,0,captured,INR
P01785,O01361,2026-02-24T15:22:00+05:30,card,1422.84,0,failed,INR
P00526,O01589,2026-01-24T00:14:00Z,wallet,23.82,0,failed,USD
P01852,O01930,2025-11-10T18:39:00Z,cod,388.04,0,captured,INR
P01632,O00814,2026-05-08T20:20:00+05:30,card,4.5,0,captured,USD
P02425,O00890,07-07-2026 03:58,cod,366.34,0,captured,INR
P01161,O00065,2026-01-09T00:53:00+05:30,netbanking,24.08,0,captured,USD
P01216,O01179,2025-10-29T03:21:00+05:30,card,5175.51,0,captured,INR
P02803,O91567,2026-04-24T17:06:00+05:30,cod,1181,0,captured,INR
P01959,O02103,2026-04-18T23:49:00+05:30,cod,43.35,0,failed,USD
P02419,O01366,05-09-2025 13:28,wallet,728.6,0,captured,INR
P01245,O01134,2025-09-29T10:26:00+05:30,netbanking,6.27,0,captured,USD
P02109,O00301,2025-07-19T00:37:00Z,wallet,659.92,0,failed,INR
P01548,O00614,2025-06-14T11:07:00+05:30,cod,320.17,0,captured,INR
P00935,O00089,2026-04-17T09:09:00+05:30,,1916.1,0,captured,INR
P00771,O01977,2026-05-28T01:24:00Z,upi,7.82,0,pending,USD
P00295,O02102,2026-02-19T05:16:00Z,card,17.74,0,captured,USD
P01213,O00022,2025-12-25T02:17:00+05:30,cod,15.57,0,captured,USD
P02292,O00795,2026-01-04T23:51:00+05:30,upi,12.4,0,captured,USD
P00311,O00620,17-02-2026 11:58,upi,707.27,0,captured,INR
P02071,O00574,20-03-2026 20:03,card,5.9,0,captured,USD
P01658,O00320,2026-07-04T23:35:00+05:30,cod,28.55,0,captured,USD
P01754,O00509,2026-07-11T02:42:00Z,netbanking,16.99,0,captured,USD
P01497,O01791,2025-12-07T10:02:00+05:30,cod,19.77,0,failed,USD
P00489,O01573,2026-07-11T12:49:00Z,card,356.74,0,captured,INR
P01861,O00187,2025-05-05T18:51:00+05:30,wallet,473.73,30,captured,INR
P01159,O01210,2025-11-02T02:39:00Z,cod,4823.4,0,pending,INR
P01744,O00396,13-06-2026 23:26,wallet,2756.81,0,captured,INR
P02473,O00472,2026-06-22T04:12:00+05:30,upi,505.2,0,refunded,INR
P00179,O02009,28-05-2025 17:59,upi,459.8,0,captured,INR
P00378,O00329,30-08-2025 17:35,wallet,437.3,77.17,captured,INR
P00585,O01785,2026-02-28T19:25:00+05:30,card,62.25,0,captured,USD
P00062,O01564,2026-01-21T05:11:00Z,netbanking,801.69,0,refunded,INR
P01034,O00108,2026-01-07T02:40:00+05:30,upi,3630.38,0,failed,INR
P01665,O00932,25-07-2025 09:49,wallet,1241.87,0,captured,INR
P02561,O01755,2025-10-11T17:40:00Z,wallet,5.58,0,pending,USD
P02589,O01021,2026-04-23T11:34:00+05:30,wallet,2600.69,0,captured,INR
P00056,O01655,2025-12-17T06:14:00Z,cod,384.13,0,captured,INR
P00721,O01137,2026-07-17T08:19:00+05:30,netbanking,66.92,0.13,captured,USD
P02099,O00423,2026-03-18T13:14:00+05:30,netbanking,1726.28,0,captured,INR
P01487,O00354,2026-06-10T16:15:00+05:30,wallet,698.49,0,failed,INR
P00518,O01719,2025-06-02T23:58:00+05:30,wallet,4.99,0,captured,USD
P01316,O00529,2026-07-04T22:22:00Z,card,4.99,0,captured,USD
P00870,O01177,23-03-2026 21:03,cod,,0,captured,INR
P00315,O00632,2026-06-05T13:13:00Z,cod,5.97,0,captured,USD
P02489,O01685,2026-04-02T15:00:00+05:30,netbanking,34.11,0,captured,USD
P02474,O01496,2026-06-22T11:37:00Z,card,824.12,0,captured,INR
P00543,O00442,04-11-2025 03:15,wallet,10.33,0,failed,USD
P00967,O00833,13-03-2026 07:03,card,630.13,0,captured,INR
P00012,O01403,2026-05-06T03:59:00+05:30,cod,5.85,0,captured,USD
P01067,O00590,12-07-2026 11:42,card,30.67,0,failed,USD
P00129,O00447,2025-07-14T05:55:00+05:30,netbanking,6.3,0,refunded,USD
P01946,O01754,04-03-2026 19:34,upi,1751.29,0,captured,INR
P00502,O01158,21-02-2026 13:58,,4.98,0,failed,USD
P00726,O01961,2025-07-19T17:15:00+05:30,cod,1162.28,0,captured,INR
P01197,O01372,2026-04-12T19:27:00+05:30,wallet,2689.01,0,captured,INR
P01283,O00876,01-07-2026 04:08,cod,650.1,0,failed,INR
P00805,O01565,15-02-2026 22:29,card,4.99,0,failed,USD
P00795,O00407,2026-02-04T12:28:00Z,netbanking,3376.84,0,captured,INR
P01489,O00354,2026-06-22T16:25:00+05:30,wallet,698.49,0,refunded,INR
P02422,O00115,2026-04-30T09:19:00+05:30,wallet,7.88,0,captured,USD
P01251,O00049,30-06-2026 13:20,card,28.91,0,captured,USD
P00221,O01072,07-02-2026 08:53,card,5.26,0,failed,USD
P01978,O01789,2026-04-25T04:12:00Z,wallet,4.74,0.01,captured,USD
P01019,O01101,2026-04-29T15:04:00+05:30,netbanking,3406.68,0,pending,INR
P00285,O00514,2026-05-23T12:13:00+05:30,wallet,559.68,0,captured,INR
P00960,O00944,2026-05-24T22:13:00+05:30,wallet,5234.6,0,captured,INR
P02146,O02090,28-05-2026 22:44,netbanking,5064.97,30,captured,INR
P02024,O00401,11-04-2026 14:25,wallet,7.93,0,failed,USD
P00846,O01193,2025-07-06T05:05:00Z,cod,532.61,0,failed,INR
P00724,O01307,26-11-2025 08:45,,413.62,0,captured,INR
P02548,O01460,2026-05-04T12:05:00+05:30,netbanking,17.02,0,captured,USD
P02259,O00951,04-05-2026 04:10,card,705.55,0,pending,INR
P00892,O00783,2026-05-13T06:27:00Z,,3433.58,0,captured,INR
P00043,O00964,2025-10-30T19:31:00+05:30,card,3029.92,30,captured,INR
P02469,O00561,2026-02-06T08:07:00+05:30,netbanking,2356.42,0,failed,INR
P01296,O01724,2026-07-23T02:44:00+05:30,cod,8.88,0,captured,USD
P01844,O00043,2026-06-30T13:07:00+05:30,netbanking,3471.84,0,captured,INR
P00258,O00796,12-07-2026 06:54,card,3489.5,0,captured,INR
P02535,O02050,2026-02-13T22:19:00Z,card,20.88,0,captured,USD
P00746,O00533,24-08-2025 23:05,card,5.96,0,captured,USD
P01409,O00019,03-06-2026 21:41,wallet,9.7,0.02,captured,USD
P01855,O01639,01-03-2026 18:19,card,21.77,0,captured,USD
P02327,O01771,2026-03-18T11:34:00Z,wallet,2358.54,15,captured,INR
P00813,O00534,25-10-2025 13:42,cod,4502.7,0,captured,INR
P00529,O00835,2026-04-21T01:29:00+05:30,upi,16.08,0.05,captured,USD
P02760,O01653,2025-11-30T08:28:00+05:30,netbanking,4.99,0,captured,USD
P00342,O01524,2026-07-04T02:28:00Z,cod,2475.35,0,failed,INR
P02053,O01533,18-06-2026 16:42,card,491.66,0,failed,INR
P02303,O01538,18-07-2026 22:46,upi,1423.51,0,captured,INR
P00107,O01258,2026-05-29T16:47:00+05:30,card,836.94,147.7,captured,INR
P01712,O00444,17-01-2026 21:04,wallet,6.35,0,captured,USD
P01968,O01546,22-03-2026 10:13,wallet,4687.29,0,failed,INR
P01938,O02043,17-04-2026 04:08,card,2409.45,0,refunded,INR
P00889,O01570,2026-04-07T14:03:00+05:30,,3777.41,0,captured,INR
P01527,O01381,12-05-2026 11:16,card,1087.79,0,refunded,INR
P00369,O01890,2026-01-12T18:19:00+05:30,wallet,3281.45,0,refunded,INR
P02180,O00816,2026-03-19T04:49:00+05:30,netbanking,15,0,captured,USD
P02687,O00598,2026-07-19T18:36:00Z,wallet,6.37,0,captured,USD
P01721,O01433,2026-03-19T23:20:00Z,netbanking,33.69,0,captured,USD
P00712,O01150,2025-08-27T12:48:00Z,upi,740.36,0,failed,INR
P01585,O01084,2026-05-14T20:56:00+05:30,upi,1416.56,0,captured,INR
P02167,O00633,2026-07-02T10:34:00+05:30,cod,14.52,0,captured,USD
P00040,O01919,2026-07-05T23:35:00Z,wallet,337.8,0,refunded,INR
P01145,O00987,2026-03-16T15:18:00Z,card,5488.65,15,captured,INR
P01515,O02052,15-03-2026 16:30,upi,20.55,0,refunded,USD
P02652,O00182,26-02-2026 13:57,card,3821.43,0,captured,INR
P01610,O00114,2026-02-26T08:36:00+05:30,netbanking,333.67,0,failed,INR
P01203,O01986,25-06-2026 05:57,cod,4844.06,200,captured,INR
P01004,O01747,22-06-2026 10:07,card,341.97,200,captured,INR
P02060,O01237,23-02-2026 08:01,,813.59,0,captured,INR
