order_id,user_id,order_date,status,gross_amount,credit,currency,channel
O01222,U0332,01-06-2026,shipped,13.5,2.02,USD,android
O00995,U0223,12-06-2026,shipped,4.99,0,USD,android
O00465,U0117,08-04-2026,delivered,3671.16,0,INR,android
O01761,U0103,29-10-2025,delivered,521.24,0,INR,android
O01447,U0178,25-05-2026,delivered,2342.66,234.27,INR,web
O02081,U0235,08-05-2026,returned,4.99,0.5,USD,web
O00379,U0114,22-07-2025,delivered,500.02,0,INR,web
O00613,U0222,12-04-2026,delivered,31.6,4.74,USD,web
O01346,U0121,11-05-2026,delivered,2981.73,0,INR,ios
O01655,U0282,17-12-2025,delivered,384.13,0,INR,web
O00989,U0095,06-03-2026,delivered,729.07,145.81,INR,android
O01666,U0426,11-12-2025,delivered,5098.9,0,INR,web
O00848,U0064,15-04-2026,shipped,5280.82,1056.16,INR,web
O00677,U0168,23-06-2026,delivered,3393.28,0,INR,ios
O01564,U0260,16-01-2026,returned,801.69,0,INR,web
O01641,U0266,27-04-2026,delivered,11.64,0,USD,web
O01872,U0002,23-01-2026,delivered,458.94,0,INR,web
O02079,U0050,11-06-2025,delivered,58.84,0,USD,web
O00878,U0366,09-04-2025,shipped,1912.21,0,INR,web
O00798,U0434,10-06-2026,cancelled,31.84,0,USD,web
O01102,U0373,31-10-2025,shipped,1914.31,0,INR,web
O00128,U0394,03-07-2026,cancelled,9.14,0,USD,ios
O00807,U0029,01-05-2026,shipped,10.36,0,USD,web
O01867,U0224,21-01-2026,placed,728.07,145.61,INR,web
O01263,U0133,14-06-2026,placed,524.19,0,INR,android
O00066,U0047,07-09-2025,delivered,5688.71,568.87,INR,ios
O01423,U0246,10-07-2025,placed,1276.15,0,INR,web
O00165,U0141,17-03-2026,cancelled,930.44,0,INR,ios
O01430,U0189,21-07-2026,shipped,827.9,82.79,INR,web
O02036,U0056,21-12-2025,delivered,362.05,0,INR,web
O02067,U0278,11-07-2026,returned,356.12,0,INR,web
O00215,U0156,01-10-2025,delivered,3695.87,0,INR,web
O01492,U0099,15-09-2025,cancelled,10.3,0,USD,web
O01391,U0079,26-04-2026,delivered,463.33,23.17,INR,ios
O01797,U0080,16-07-2026,placed,729.45,72.95,INR,android
O00039,U0005,03-07-2026,cancelled,10.91,0,USD,android
O00767,U0269,26-03-2026,delivered,372.57,18.63,INR,android
O01892,U0250,23-02-2026,shipped,1206.05,60.3,INR,ios
O01007,U0022,05-07-2025,placed,1729.04,0,INR,web
O00597,U0298,09-06-2026,delivered,5.64,0.85,USD,android
O01418,U0138,26-02-2026,returned,714.49,0,INR,ios
O01311,U0383,02-10-2025,delivered,1859.93,0,INR,web
O01843,U0395,06-10-2025,delivered,3634.68,0,INR,web
O01916,U0017,16-06-2026,returned,551.42,27.57,INR,web
O01693,U0312,16-11-2025,returned,4.99,0,USD,android
O00721,U0106,26-10-2025,returned,5.42,0,USD,web
O00132,U0267,26-06-2026,returned,940.67,47.03,INR,ios
O01331,U0103,24-09-2025,placed,509.8,0,INR,web
O01045,U0056,07-07-2026,placed,45.1,0,USD,web
O01258,U0231,29-05-2026,delivered,984.64,0,INR,ios
O01624,U0267,19-07-2026,delivered,4979.07,0,INR,web
O02084,U0398,14-07-2026,delivered,467.89,93.58,INR,android
O01393,U0228,18-02-2026,delivered,520.2,0,INR,ios
O01773,U0343,10-07-2026,delivered,4829.43,0,INR,ios
O00581,U0407,15-07-2026,cancelled,6.37,0,USD,ios
O00189,U0401,22-05-2026,delivered,396.87,19.84,INR,web
O01778,U0193,05-05-2025,delivered,5700.8,1140.16,INR,ios
O01304,U0371,21-06-2025,returned,655.68,0,INR,ios
O01039,U0104,11-01-2026,shipped,395.29,0,INR,web
O01647,U0375,24-02-2026,cancelled,1703.03,0,INR,web
O01886,U0155,12-06-2026,delivered,4.99,0.75,USD,android
O02065,U0108,31-01-2026,returned,66.85,0,USD,android
O00969,U0041,07-08-2025,delivered,954.5,0,INR,ios
O00313,U0127,01-08-2025,placed,630.88,63.09,INR,web
O00365,U0191,23-11-2025,delivered,5249.92,787.49,INR,ios
O00447,U0099,25-06-2025,returned,6.3,0,USD,android
O01020,U0341,26-01-2026,returned,1727.82,0,INR,ios
O00195,U0106,03-04-2026,delivered,66.95,6.7,USD,web
O01834,U0232,15-10-2025,shipped,45.14,0,USD,web
O00312,U0279,20-04-2026,cancelled,4.99,0,USD,web
O00097,U0013,24-04-2026,shipped,10.3,0.52,USD,web
O01793,U0073,18-08-2025,delivered,54.34,0,USD,web
O01770,U0107,24-07-2026,cancelled,1302.86,195.43,INR,web
O00930,U0421,22-01-2026,returned,2783.6,0,INR,android
O01213,U0169,14-07-2026,delivered,2781.97,0,INR,ios
O01417,U0223,24-06-2026,delivered,23.64,1.18,USD,web
O01471,U0042,30-11-2025,delivered,5252.05,262.6,INR,web
O01209,U0199,29-01-2026,cancelled,9.54,0,USD,ios
O01060,U0211,01-07-2026,returned,1026.6,0,INR,web
O00646,U0102,30-03-2026,shipped,32.31,0,USD,web
O00001,U0043,05-03-2026,delivered,17.03,0,USD,android
O00426,U0416,10-01-2026,returned,5499.5,824.92,INR,web
O02056,U0420,18-06-2026,shipped,1269.44,0,INR,web
O01183,U0050,01-07-2026,placed,7.87,0,USD,web
O01982,U0135,17-06-2026,delivered,4.99,0,USD,web
O00524,U0379,09-04-2026,returned,32.63,6.53,USD,web
O00418,U0032,18-04-2026,returned,11.15,0,USD,ios
O00117,U0210,04-10-2025,delivered,2041.2,204.12,INR,android
O00853,U0072,12-02-2026,delivered,4.99,0,USD,ios
O00016,U0177,03-06-2026,placed,3446.21,344.62,INR,ios
O00706,U0065,26-07-2025,shipped,6.48,1.3,USD,ios
O00924,U0173,18-06-2026,cancelled,3051.31,305.13,INR,ios
O00021,U0017,19-06-2026,returned,854.26,0,INR,android
O01966,U0361,22-04-2026,returned,15.88,0.79,USD,web
O01383,U0330,18-02-2026,shipped,796.67,0,INR,android
O00820,U0018,24-05-2026,cancelled,760.82,0,INR,android
O00531,U0268,07-11-2025,shipped,3684.86,0,INR,web
O00357,U0348,16-06-2026,returned,674.42,0,INR,android
O00448,U0384,15-05-2026,delivered,1019.29,0,INR,ios
O01298,U0135,19-07-2026,delivered,39.82,1.99,USD,android
O01629,U0128,09-12-2025,cancelled,745.32,0,INR,android
O02009,U0353,28-05-2025,delivered,459.8,0,INR,android
O01141,U0271,03-01-2026,shipped,2068.32,103.42,INR,android
O00536,U0029,09-07-2026,delivered,450.63,0,INR,ios
O00068,U0058,28-10-2025,delivered,1978.01,0,INR,web
O00637,U0051,27-05-2026,delivered,5040.29,0,INR,web
O01149,U0204,09-07-2026,placed,8.52,1.28,USD,web
O00144,U0339,07-06-2026,delivered,37.76,0,USD,web
O01081,U0246,28-02-2026,placed,322.06,48.31,INR,web
O00792,U0432,09-04-2026,shipped,15.87,3.17,USD,android
O01371,U0392,08-07-2026,delivered,1915.93,0,INR,android
O00368,U0098,27-07-2025,delivered,919.03,183.81,INR,ios
O00568,U0257,14-07-2026,cancelled,4.99,1,USD,ios
O00813,U0278,07-06-2026,delivered,2714.46,0,INR,android
O01734,U0398,05-05-2026,delivered,700.14,0,INR,web
O00797,U0236,31-05-2026,delivered,1825.44,0,INR,ios
O00600,U0027,03-06-2026,delivered,1849.44,0,INR,web
O01632,U0350,22-02-2026,cancelled,371.02,0,INR,ios
O00438,U0216,29-12-2025,delivered,28.62,2.86,USD,web
O00427,U0406,17-06-2026,delivered,1029.44,205.89,INR,web
O00787,U0191,13-12-2025,placed,341.35,51.2,INR,ios
O00204,U0367,16-06-2026,placed,366.77,0,INR,web
O00628,U0057,27-05-2026,returned,1656.07,0,INR,web
O00118,U0264,12-05-2026,delivered,9.4,1.41,USD,web
O00256,U0297,08-06-2026,shipped,369.98,0,INR,ios
O01595,U0386,05-05-2026,delivered,374.4,0,INR,ios
O02037,U0038,07-05-2026,placed,522.37,104.47,INR,web
O00500,U0089,10-03-2026,placed,41.45,0,USD,web
O01317,U0411,10-08-2025,returned,39.4,0,USD,web
O00405,U0075,18-01-2026,delivered,11.66,0,USD,web
O00286,U0247,28-06-2026,shipped,67.93,10.19,USD,android
O01936,U0041,07-03-2026,cancelled,3712.01,0,INR,ios
O00052,U0312,18-06-2026,delivered,9.86,1.48,USD,ios
O00946,U0093,13-12-2025,delivered,390.14,0,INR,android
O01072,U0010,07-02-2026,cancelled,6.58,1.32,USD,web
O00696,U0027,09-06-2026,shipped,15.21,2.28,USD,ios
O01500,U0187,24-09-2025,delivered,7.58,0.76,USD,android
O01999,U0086,17-07-2026,delivered,718.52,0,INR,web
O00470,U0036,27-04-2026,cancelled,28.98,5.8,USD,ios
O01839,U0053,04-06-2026,placed,340.92,0,INR,web
O00064,U0286,29-03-2026,placed,346.83,0,INR,web
O01627,U0367,21-01-2026,returned,2999.45,0,INR,ios
O01269,U0231,13-01-2026,shipped,325.95,0,INR,android
O00375,U0415,13-06-2026,delivered,1802.96,0,INR,web
O02074,U0278,01-06-2026,cancelled,490.12,0,INR,web
O01047,U0038,20-03-2026,delivered,2824.28,0,INR,android
O01557,U0419,22-04-2026,delivered,989.98,0,INR,web
O00894,U0410,17-07-2026,returned,456.55,0,INR,web
O00275,U0241,24-05-2026,placed,494.45,98.89,INR,web
O00404,U0158,30-04-2026,delivered,390.6,0,INR,android
O00804,U0108,01-11-2025,delivered,5.98,0,USD,web
O00713,U0286,13-03-2026,cancelled,825.93,82.59,INR,ios
O00920,U0409,22-08-2025,delivered,20.32,0,USD,ios
O00406,U0101,28-01-2026,placed,3380.87,0,INR,ios
O01291,U0417,12-02-2026,shipped,1810.24,0,INR,web
O02047,U0417,03-02-2026,delivered,334.92,0,INR,web
O00462,U0084,06-12-2025,returned,526.03,0,INR,web
O00819,U0122,09-07-2026,placed,735.14,0,INR,web
O02000,U0194,10-07-2026,shipped,9.37,1.87,USD,web
O01104,U0434,20-05-2026,placed,6.56,0,USD,web
O00972,U0160,17-11-2025,placed,889.9,177.98,INR,web
O01795,U0419,12-06-2026,delivered,6.14,1.23,USD,ios
O00796,U0049,12-07-2026,placed,3489.5,0,INR,web
O01554,U0432,25-03-2026,delivered,6.14,0,USD,web
O00742,U0251,08-04-2026,delivered,1168.39,0,INR,web
O00035,U0248,02-06-2026,delivered,58.74,0,USD,android
O00314,U0033,04-04-2026,delivered,29.37,0,USD,android
O00096,U0280,19-02-2026,delivered,15.84,0,USD,web
O01123,U0233,29-03-2026,cancelled,21.31,1.07,USD,web
O00882,U0325,04-05-2026,delivered,554.83,0,INR,web
O01411,U0378,06-05-2026,placed,43.35,0,USD,android
O01933,U0337,07-05-2026,placed,1660.39,0,INR,web
O00937,U0209,16-10-2025,delivered,684.95,0,INR,android
O01561,U0307,28-03-2026,placed,1880.25,0,INR,web
O00194,U0413,07-06-2026,returned,367.09,55.06,INR,web
O00553,U0191,15-01-2026,delivered,2703.5,0,INR,web
O01299,U0380,24-06-2026,returned,2627.03,0,INR,android
O01680,U0063,22-04-2026,placed,704.11,35.21,INR,web
O01358,U0028,08-01-2026,delivered,11.13,0,USD,web
O00514,U0065,23-05-2026,delivered,559.68,0,INR,web
O00154,U0040,01-04-2026,placed,68.44,0,USD,web
O01315,U0329,10-02-2026,returned,1152.61,0,INR,web
O01852,U0284,26-01-2026,placed,4.99,0,USD,web
O01280,U0434,30-05-2026,delivered,983.94,0,INR,ios
O01926,U0058,23-02-2026,cancelled,344.88,0,INR,web
O01863,U0208,27-06-2026,delivered,545.87,0,INR,android
O00347,U0069,02-06-2026,delivered,1011.41,202.28,INR,web
O02102,U9121,19-02-2026,delivered,17.74,0,USD,android
O01938,U0056,31-01-2026,cancelled,55.2,5.52,USD,android
O01954,U0210,15-05-2026,delivered,4.99,0,USD,web
O01176,U0182,02-07-2026,returned,3494.17,0,INR,ios
O01156,U0071,13-03-2026,shipped,3258.1,488.71,INR,web
O00399,U0307,09-05-2026,delivered,5333,0,INR,web
O01278,U0185,17-01-2026,placed,381.89,0,INR,web
O01089,U0432,10-03-2026,returned,7.67,0,USD,web
O01515,U0052,16-06-2026,delivered,10.44,0,USD,android
O01808,U0050,19-10-2025,returned,922.36,0,INR,web
O00788,U0133,19-01-2026,delivered,55.58,2.78,USD,ios
O00620,U0220,17-02-2026,shipped,744.5,37.23,INR,web
O01548,U0299,28-04-2026,delivered,1656.29,0,INR,web
O01386,U0396,09-08-2025,delivered,4684.53,468.45,INR,web
O00632,U0218,05-06-2026,returned,5.97,0,USD,web
O01042,U0432,09-07-2026,delivered,894.45,44.72,INR,web
O00595,U0054,24-02-2026,delivered,459.37,0,INR,web
O00210,U0276,24-06-2026,placed,39.2,3.92,USD,ios
O01788,U0058,12-07-2025,placed,5221.17,0,INR,ios
O01532,U0259,10-04-2026,delivered,22.54,0,USD,web
O01028,U0157,11-03-2026,cancelled,27.21,1.36,USD,web
O01143,U0296,28-04-2026,placed,34.25,6.85,USD,web
O01953,U0411,11-03-2026,delivered,10.46,0,USD,web
O00883,U0152,12-02-2026,delivered,14.46,0,USD,ios
O00638,U0352,20-02-2026,shipped,857.67,85.77,INR,android
O01568,U0365,04-07-2026,cancelled,1873.79,93.69,INR,web
O00800,U0028,19-06-2026,delivered,5.83,0,USD,web
O00790,U0213,25-09-2025,delivered,330.71,0,INR,ios
O01455,U0230,07-01-2026,delivered,8.95,1.34,USD,android
O00666,U0421,01-09-2025,placed,61.18,0,USD,ios
O00841,U0377,24-12-2025,cancelled,2480.18,0,INR,web
O02097,U0344,10-01-2026,cancelled,333.58,66.72,INR,ios
O00116,U0176,16-04-2026,delivered,10.72,0,USD,web
O00355,U0123,12-10-2025,delivered,8.98,0,USD,web
O00968,U0070,11-11-2025,placed,5.81,0.58,USD,web
O00087,U0038,13-04-2026,delivered,825.22,0,INR,web
O00247,U0042,09-12-2025,placed,364.87,54.73,INR,ios
O01583,U0130,19-01-2026,shipped,525.71,0,INR,web
O01524,U0110,04-07-2026,cancelled,2475.35,0,INR,web
O00324,U0301,26-01-2026,placed,3224.78,644.96,INR,web
O00435,U0306,03-07-2026,returned,24.22,0,USD,web
O00903,U0137,16-04-2026,placed,19.89,0,USD,web
O00107,U0065,09-02-2026,delivered,8,0,USD,web
O00030,U0187,25-04-2026,returned,395.12,59.27,INR,ios
O01971,U0429,21-05-2026,delivered,1756.88,175.69,INR,android
O00393,U0361,18-04-2026,delivered,6.72,0,USD,android
O01756,U0310,22-08-2025,delivered,712.35,71.23,INR,web
O01166,U0122,12-07-2026,shipped,652.09,97.81,INR,android
O01577,U0324,01-06-2026,returned,9.21,0,USD,android
O00253,U0391,25-04-2026,cancelled,1665.07,0,INR,ios
O01051,U0220,17-12-2025,placed,2035.73,101.79,INR,android
O01806,U0028,30-11-2025,shipped,2527.37,0,INR,web
O00351,U0402,20-02-2026,delivered,5.96,0,USD,web
O01831,U0190,02-07-2026,delivered,399.27,19.96,INR,web
O01809,U0035,21-09-2025,shipped,925.16,0,INR,ios
O00984,U0328,08-07-2026,placed,16.92,1.69,USD,ios
O00794,U0373,30-10-2025,delivered,1320.55,0,INR,ios
O01890,U0245,25-12-2025,returned,3281.45,0,INR,web
O01619,U0404,19-06-2026,placed,2554.14,0,INR,ios
O00686,U0289,24-05-2026,placed,1273.04,0,INR,ios
O01978,U0039,09-11-2025,cancelled,5608.93,560.89,INR,web
O01705,U0210,01-02-2026,delivered,21.07,0,USD,web
O00088,U0101,20-10-2025,delivered,3659.23,365.92,INR,android
O00302,U0415,05-09-2025,delivered,489.78,0,INR,web
O00329,U0183,30-08-2025,delivered,514.47,0,INR,android
O00232,U0363,28-12-2025,placed,6.82,0.68,USD,ios
O01429,U0052,26-04-2026,placed,34.01,0,USD,web
O00993,U0032,12-06-2026,delivered,4.99,0.25,USD,web
O01289,U0052,13-05-2026,delivered,10.11,0,USD,web
O01783,U0117,21-06-2026,cancelled,5415.66,0,INR,web
O01858,U0381,29-06-2026,delivered,8.53,1.71,USD,ios
O01395,U0221,10-04-2026,delivered,65.97,0,USD,web
O01946,U0353,23-08-2025,returned,377.81,56.67,INR,web
O01992,U0265,25-03-2025,shipped,36.79,7.36,USD,ios
O00505,U0335,20-07-2026,returned,54.11,0,USD,android
O00729,U0211,30-05-2026,cancelled,794.15,0,INR,web
O01616,U0009,23-05-2026,delivered,380.89,0,INR,android
O01448,U0059,31-05-2026,returned,478.88,23.94,INR,web
O00756,U0381,25-06-2026,shipped,15.66,2.35,USD,android
O01673,U0091,16-12-2025,returned,4.99,0.25,USD,android
O01599,U0234,23-04-2026,shipped,5352.16,0,INR,android
O00007,U0034,24-12-2025,returned,3534.18,0,INR,web
O00317,U0072,02-02-2026,returned,4.99,0,USD,web
O01466,U0140,04-07-2026,delivered,3756.31,0,INR,web
O00054,U0072,20-01-2026,returned,11.18,0.56,USD,web
O00290,U0392,06-07-2026,delivered,63.93,3.2,USD,web
O01114,U0148,13-04-2026,cancelled,1380.61,0,INR,ios
O01521,U0158,23-04-2026,delivered,17.19,0,USD,ios
O00732,U0038,24-06-2026,delivered,716.54,0,INR,web
O00643,U0335,30-06-2026,placed,8.85,0.44,USD,web
O00378,U0406,29-05-2026,delivered,1784.37,89.22,INR,android
O01512,U0056,15-07-2026,delivered,65.66,0,USD,web
O00542,U0428,02-05-2025,delivered,453.69,0,INR,web
O01531,U0203,23-07-2026,cancelled,335.21,33.52,INR,ios
O00527,U0074,17-01-2026,delivered,327.54,0,INR,web
O00214,U0191,11-06-2025,shipped,797.15,0,INR,android
O01457,U0058,20-08-2025,delivered,790.13,39.51,INR,android
O01552,U0317,22-04-2026,delivered,2650.02,0,INR,web
O01203,U0254,12-07-2026,cancelled,1222.65,0,INR,android
O02059,U0314,07-05-2026,shipped,1200.23,0,INR,web
O01396,U0424,13-01-2026,delivered,686.68,0,INR,android
O00738,U0392,15-03-2026,returned,359.61,0,INR,ios
O00884,U0417,20-01-2026,delivered,5070.59,760.59,INR,web
O01497,U0100,11-07-2025,placed,3259.54,0,INR,android
O00254,U0122,18-07-2026,shipped,1020.56,0,INR,android
O00181,U0106,30-09-2025,delivered,3385.08,507.76,INR,web
O01688,U0185,10-02-2026,delivered,2274.64,0,INR,web
O00669,U0139,19-06-2026,delivered,781.9,117.28,INR,web
O00012,U0262,06-07-2026,delivered,450.67,0,INR,ios
O01526,U0413,22-06-2026,placed,678,0,INR,web
O01408,U0382,20-01-2026,delivered,371.02,0,INR,web
O01683,U0386,13-04-2026,delivered,3586.7,0,INR,ios
O00668,U0188,04-07-2026,shipped,1769.4,0,INR,ios
O01882,U0309,08-07-2026,delivered,27.52,2.75,USD,android
O00839,U0220,07-08-2025,delivered,1945.37,0,INR,web
O00541,U0007,15-04-2026,returned,5.85,0,USD,web
O01530,U0203,24-06-2026,placed,386.77,0,INR,web
O00854,U0067,27-04-2026,shipped,21.01,0,USD,web
O00042,U0005,26-06-2026,delivered,39.12,0,USD,ios
O01841,U0132,21-01-2026,delivered,955.43,0,INR,android
O01319,U0248,30-03-2026,placed,58.26,0,USD,ios
O00910,U0285,12-01-2026,cancelled,7.78,0,USD,web
O01394,U0280,13-06-2026,cancelled,10.66,0,USD,android
O00615,U0013,08-06-2026,placed,33.12,0,USD,android
O00150,U0064,09-11-2025,delivered,335.45,0,INR,android
O00434,U0308,30-05-2026,shipped,27.49,4.12,USD,web
O00276,U0231,13-01-2026,delivered,3487.46,0,INR,web
O00499,U0342,09-05-2026,returned,2670.66,0,INR,android
O00671,U0058,09-07-2025,delivered,790.62,0,INR,ios
O01768,U0053,26-12-2025,delivered,666.64,100,INR,web
O02058,U0142,05-06-2026,returned,13.67,0,USD,web
O00237,U0415,19-08-2025,cancelled,397.63,19.88,INR,android
O00026,U0356,08-03-2026,placed,36.06,0,USD,ios
O01494,U0029,18-01-2026,delivered,22.58,0,USD,web
O01008,U0414,21-02-2026,delivered,4.99,0,USD,ios
O01603,U0337,26-08-2025,returned,1420.05,71,INR,ios
O00772,U0055,05-06-2026,returned,1621.24,0,INR,ios
O01450,U0180,08-06-2025,shipped,2653.6,132.68,INR,ios
O00429,U0393,24-07-2026,returned,5.72,0.57,USD,web
O01824,U0285,11-07-2026,cancelled,67.27,13.45,USD,android
O00160,U0434,30-06-2026,delivered,966.82,0,INR,web
O00961,U0086,13-07-2026,shipped,39.85,3.99,USD,web
O01840,U0299,08-06-2026,returned,1031.86,0,INR,web
O00649,U0311,07-07-2026,delivered,4.99,0,USD,web
O01893,U0367,17-04-2026,returned,512.16,0,INR,web
O01434,U0193,24-04-2025,returned,5287.11,793.07,INR,ios
O00017,U0383,30-01-2026,shipped,2472.9,0,INR,android
O01573,U0250,11-07-2026,cancelled,356.74,0,INR,ios
O01983,U0122,11-07-2026,delivered,842.79,126.42,INR,android
O01035,U0134,27-01-2026,delivered,704.15,0,INR,web
O01349,U0019,25-10-2025,returned,10.24,0,USD,web
O01918,U0406,11-06-2026,returned,958.84,95.88,INR,web
O01677,U0162,27-12-2025,cancelled,3440.69,0,INR,ios
O00893,U0081,17-10-2025,returned,11.89,0,USD,ios
O00186,U0130,18-01-2026,placed,6.27,0,USD,web
O00220,U0180,24-04-2026,shipped,20.36,4.07,USD,ios
O01158,U0273,21-02-2026,cancelled,4.99,0,USD,ios
O00917,U0097,29-01-2026,placed,2992.72,0,INR,web
O00503,U0061,26-03-2026,placed,5.67,0,USD,web
O00216,U0259,26-03-2026,cancelled,34.49,0,USD,web
O00564,U0165,08-01-2026,delivered,865.03,0,INR,web
O00336,U0084,04-02-2026,shipped,2825.16,423.77,INR,ios
O00193,U0187,09-09-2025,delivered,802.49,120.37,INR,web
O01103,U0365,21-05-2026,placed,755.57,151.11,INR,web
O01159,U0354,07-03-2026,delivered,23.62,0,USD,android
O00717,U0288,16-06-2026,delivered,61.13,0,USD,web
O00121,U0348,02-07-2026,delivered,816.62,40.83,INR,android
O00684,U0143,09-06-2026,cancelled,13.72,0,USD,web
O00811,U0287,25-04-2026,delivered,1212.27,242.45,INR,ios
O01719,U0310,02-06-2025,cancelled,4.99,0,USD,web
O01718,U0241,04-06-2025,delivered,1003.15,50.16,INR,web
O01856,U0008,14-06-2026,delivered,863.62,0,INR,web
O00488,U0003,05-09-2025,placed,639.2,0,INR,web
O01248,U0423,03-07-2026,shipped,485.5,48.55,INR,android
O00567,U0166,05-09-2025,delivered,20.69,1.03,USD,web
O01589,U0107,24-01-2026,delivered,28.02,4.2,USD,web
O00835,U0180,21-04-2026,shipped,16.98,0.85,USD,android
O01360,U0417,07-05-2026,placed,1335.19,0,INR,web
O01154,U0425,03-07-2026,placed,3784.39,0,INR,web
O00127,U0021,01-12-2025,delivered,61.87,0,USD,web
O01642,U0347,26-06-2026,delivered,23.69,0,USD,ios
O00726,U0421,22-04-2025,delivered,32.56,0,USD,web
O01819,U0352,29-06-2025,delivered,3537.33,0,INR,web
O00263,U0347,24-06-2026,returned,2489.16,0,INR,web
O01960,U0369,20-06-2026,delivered,391.82,58.77,INR,web
O01377,U0420,17-06-2026,delivered,1302.1,65.11,INR,android
O01098,U0283,15-04-2026,cancelled,8.75,1.75,USD,web
O00442,U0111,04-11-2025,delivered,10.33,0,USD,web
O01010,U0348,12-07-2026,shipped,1656.3,0,INR,web
O00441,U0101,24-10-2025,delivered,694.38,0,INR,ios
O00892,U0422,26-06-2026,returned,1311.1,0,INR,ios
O00626,U0029,13-07-2026,delivered,2325.06,0,INR,ios
O00818,U0083,31-01-2026,delivered,526.82,0,INR,ios
O01036,U0288,02-07-2026,cancelled,21.58,0,USD,web
O01822,U0103,29-01-2026,delivered,3255.75,325.58,INR,ios
O00606,U0416,22-05-2025,delivered,10.93,1.09,USD,ios
O01651,U0425,13-06-2026,placed,15.16,3.03,USD,ios
O01681,U0012,08-04-2026,returned,3030.35,0,INR,android
O00808,U0261,03-02-2026,returned,907.17,90.72,INR,android
O01414,U0198,22-06-2026,placed,5651.44,0,INR,android
O01612,U0375,09-11-2025,delivered,3615.71,180.79,INR,web
O02119,U9341,10-04-2026,cancelled,960.57,0,INR,android
O00708,U0397,28-06-2026,cancelled,16.06,0,USD,web
O01914,U0404,13-05-2026,delivered,2358.65,353.8,INR,web
O01885,U0049,09-12-2025,placed,2538.53,507.71,INR,web
O00998,U0189,18-07-2026,delivered,37.04,0,USD,web
O00414,U0251,21-03-2026,delivered,2585.1,517.02,INR,android
O01995,U0032,21-06-2026,delivered,1654.28,82.71,INR,web
O01287,U0047,12-12-2025,cancelled,966.91,0,INR,web
O01848,U0269,23-02-2026,cancelled,1930.49,0,INR,web
O01353,U0003,22-10-2025,delivered,2986.58,0,INR,android
O01018,U0186,15-06-2026,delivered,1254.47,0,INR,web
O01277,U0003,30-03-2025,delivered,721.89,0,INR,ios
O01578,U0201,09-01-2026,placed,38.92,7.78,USD,web
O01365,U0172,01-03-2026,returned,67.38,10.11,USD,web
O02045,U0256,08-03-2026,cancelled,729.65,72.97,INR,android
O01486,U0028,16-04-2026,delivered,6.24,0,USD,ios
O01113,U0001,27-11-2025,delivered,1021.88,0,INR,ios
O01785,U0244,28-02-2026,returned,62.25,0,USD,ios
O01057,U0157,17-11-2025,returned,5.65,0,USD,ios
O00467,U0340,20-10-2025,delivered,3430.04,171.5,INR,web
O01671,U0018,08-07-2026,delivered,56.93,2.85,USD,android
O01973,U0301,21-03-2026,placed,738.36,147.67,INR,web
O01751,U0302,06-07-2026,delivered,42.43,0,USD,ios
O01000,U0129,30-04-2026,delivered,370.95,18.55,INR,ios
O01837,U0269,11-01-2026,returned,728.93,145.79,INR,android
O01740,U0356,26-05-2026,placed,1886,188.6,INR,web
O00532,U0416,17-08-2025,delivered,32.68,0,USD,web
O00353,U0157,11-06-2026,shipped,24.72,3.71,USD,ios
